run_name,eval_results_path,metrics_path,stored_n,recomputed_n,stored_accuracy_pct,recomputed_orig_acc_pct,accuracy_diff_pp,stored_consistency_pct,recomputed_consistency_pct,consistency_diff_pp,status
GRPO_qwen3_8b_full_composite_unbal,results/GRPO_qwen3_8b_full_composite_unbal/eval/eval_results.json,results/GRPO_qwen3_8b_full_composite_unbal/eval/metrics.json,449,449,87.75055679287304,87.75055679287304,0.0,80.84632516703786,80.84632516703786,0.0,ok
GRPO_qwen3_8b_unbal_lr1e5,results/GRPO_qwen3_8b_unbal_lr1e5/eval/eval_results.json,results/GRPO_qwen3_8b_unbal_lr1e5/eval/metrics.json,449,449,90.20044543429844,90.20044543429844,0.0,78.39643652561247,78.39643652561247,0.0,ok
GRPO_qwen3_8b_unbal_lr1e6,results/GRPO_qwen3_8b_unbal_lr1e6/eval/eval_results.json,results/GRPO_qwen3_8b_unbal_lr1e6/eval/metrics.json,449,449,89.086859688196,89.086859688196,0.0,82.40534521158129,82.40534521158129,0.0,ok
GRPO_qwen3_8b_unbal_lr2e6,results/GRPO_qwen3_8b_unbal_lr2e6/eval/eval_results.json,results/GRPO_qwen3_8b_unbal_lr2e6/eval/metrics.json,449,449,87.75055679287304,87.75055679287304,0.0,81.51447661469933,81.51447661469933,0.0,ok
GRPO_qwen3_8b_unbal_lr3e6,results/GRPO_qwen3_8b_unbal_lr3e6/eval/eval_results.json,results/GRPO_qwen3_8b_unbal_lr3e6/eval/metrics.json,449,449,87.75055679287304,87.75055679287304,0.0,82.62806236080178,82.62806236080178,0.0,ok
GRPO_qwen3_8b_unbal_s3,results/GRPO_qwen3_8b_unbal_s3/eval/eval_results.json,results/GRPO_qwen3_8b_unbal_s3/eval/metrics.json,449,449,88.64142538975501,88.64142538975501,0.0,80.84632516703786,80.84632516703786,0.0,ok
GRPO_qwen3_8b_unbalanced,results/GRPO_qwen3_8b_unbalanced/eval/eval_results.json,results/GRPO_qwen3_8b_unbalanced/eval/metrics.json,449,449,88.41870824053451,88.41870824053451,0.0,78.84187082405344,78.84187082405344,0.0,ok
eval_ckpt100,results/GRPO_qwen3_8b_unbalanced/eval_ckpt100/eval_results.json,results/GRPO_qwen3_8b_unbalanced/eval_ckpt100/metrics.json,449,449,49.88864142538976,49.88864142538976,0.0,80.17817371937639,80.17817371937639,0.0,ok
eval_ckpt200,results/GRPO_qwen3_8b_unbalanced/eval_ckpt200/eval_results.json,results/GRPO_qwen3_8b_unbalanced/eval_ckpt200/metrics.json,449,449,89.75501113585747,89.75501113585747,0.0,80.17817371937639,80.17817371937639,0.0,ok
GRPO_qwen3_8b_unbalanced_s2,results/GRPO_qwen3_8b_unbalanced_s2/eval/eval_results.json,results/GRPO_qwen3_8b_unbalanced_s2/eval/metrics.json,449,449,89.086859688196,89.086859688196,0.0,80.17817371937639,80.17817371937639,0.0,ok
